price,mileage
28300,15436
12000,104665
32999,16194
12600,48188
5200,65164
20500,35930
1200,167376
35999,13674
41000,9235
33100,103002
23500,12836
18799,137728
33999,6921
35000,14359
26100,58118
15400,31124
25998,25734
31831,14059
40400,13472
15400,123983
13500,35023
25995,39509
27990,4512
23985,51884
27995,4181
13995,56703
29988,4712
12995,102800
21687,7109
25200,100943
29590,3915
28999,15550
13942,62542
15300,38370
35400,671
32700,61477
13995,73891
1850,168805
15800,82564
36000,85649
15495,48374
21500,11990
7200,64111
17589,28771
31700,126708
31790,27165
18100,106546
14495,54778
15000,11729
26400,85197
27990,19130
19700,72369
15300,59646
22000,68418
23999,8400
16488,45084
12784,67037
23400,64135
9705,72377
25999,39367
34977,46540
19000,40677
15995,69438
13487,96246
18707,69719
15290,75933
15600,54325
47000,24902
16080,31793
50000,16505
15268,74361
47500,27868
18497,34011
10000,19993
19995,48115
49000,22543
17150,67091
45000,28790
14295,59391
49000,18449
16190,71824
49000,19304
17899,39159
26000,18708
14000,79430
15500,12393
16888,56329
28000,12155
8305,63291
21822,36041
15500,25810
12500,130388
15995,23878
16000,15460
38200,46710
12995,65342
14488,64061
17500,93164
21995,35629
8500,118483
16593,71573
13000,33660
14247,61168
23500,42241
16999,21004
25000,45003
20159,45278
31000,1
22500,24747
29500,48707
59900,2162
24000,50874
20500,70727
27200,29382
24900,33194
24500,52084
34000,51122
28000,40286
27000,55420
34000,10282
42500,85278
33000,7258
10200,93350
25600,37166
16300,69480
26500,34679
36500,24151
25900,32796
22500,67979
29000,18690
825,78072
10500,54251
32000,32262
27700,92358
4000,90740
38800,35225
26200,129063
19500,49985
11700,52340
34000,21406
38600,16619
21500,41293
38500,37053
38500,34532
12000,13328
30500,56836
11300,48080
29500,12271
16100,97318
32500,12717
29000,12764
30000,19951
26000,32458
26000,21616
18500,17755
12000,73846
30000,15771
14700,29168
25000,159182
26550,15296
27000,30476
34000,131754
27500,26095
25500,22107
13500,31207
4000,112810
25700,19058
29000,109137
30500,24058
30000,6967
9000,118340
19000,36145
25800,33942
26500,38868
29300,36190
6300,37177
25400,39267
26000,33350
7000,57889
25900,34081
9700,26821
27000,40577
9100,52355
28000,30620
25700,22019
27500,36742
9400,32473
25500,43406
20500,34696
21500,43519
12800,37716
23900,41627
9400,29986
26900,41496
25500,20613
27000,33475
9300,32305
14400,38148
19000,39976
